session_year,volume_label,pdf_url,verified,size_bytes
1891,Index,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1891/1891_Index.pdf,,
1893,TOC,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1893/1893toc.pdf,,
1893,Statutes,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1893/1893.pdf,,
1893,BR,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1893/1893_BR.pdf,,
1893,Index,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1893/1893_Index.pdf,,
1895,TOC,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1895/1895toc.PDF,,
1895,Statutes,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1895/1895.pdf,,
1895,BR,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1895/1895_BR.pdf,,
1895,Index,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1895/1895_Index.pdf,,
1897,TOC,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1897/1897toc.pdf,,
1897,Statutes,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1897/1897.PDF,,
1897,BR,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1897/1897_BR.pdf,,
1897,Index,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1897/1897_Index.pdf,,
1899,TOC,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1899/1899toc.PDF,,
1899,Statutes,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1899/1899.pdf,,
1899,BR,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1899/1899_BR.pdf,,
1899,Index,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1899/1899_Index.pdf,,
1900-01,1E,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1900/1900_1E.pdf,,
1900-01,Statutes,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1900/1901.pdf,,
1900-01,BR,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1900/1901_BR.pdf,,
1900-01,Index,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1900/1901_Index.pdf,,
1903,Statutes,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1903/1903.PDF,,
1903,Appendix,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1903/1903_Appendix.pdf,,
1903,BR,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1903/1903_BR.pdf,,
1903,Index,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1903/1903_Index.pdf,,
1905,Statutes,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1905/1905.PDF,yes,68598579
1905,BR,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1905/1905_BR.pdf,,
1905,Index,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1905/1905_Index.pdf,,
1906-07,1E,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1906_07/1906_1E.pdf,,
1906-07,1E_Index,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1906_07/1906_1E_Index.pdf,,
1906-07,Statutes,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1906_07/1907.pdf,,
1906-07,BR,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1906_07/1907_BR.pdf,,
1906-07,Index,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1906_07/1907_Index.pdf,,
1907-09,1E,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1907_09/1907_1E.pdf,,
1907-09,2E,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1907_09/1907_2E.pdf,,
1907-09,Statutes,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1907_09/1909.pdf,,
1907-09,BR,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1907_09/1909_BR.pdf,,
1907-09,Index,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1907_09/1909_Index.pdf,,
1910-11,1E,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1910_11/1910_E1.PDF,,
1910-11,2E,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1910_11/1910_2E.pdf,,
1910-11,Statutes,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1910_11/1911.pdf,,
1910-11,1E_1911,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1910_11/1911_1e.pdf,,
1910-11,2E_1911,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1910_11/1911_2E.pdf,,
1910-11,Index,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1910_11/1911_Index.pdf,,
1910-11,Topical_Index,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1910_11/1911_Topical_Index.pdf,,
1910-11,Constitution_Index,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1910_11/Index_to_Constitution.pdf,,
1913,Statutes,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1913/1913.pdf,,
1913,Index,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1913/1913_Index.pdf,,
1915,Vol1_Constitution,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1915/15Vol1_Constitution.pdf,,
1915,Vol1_Tables,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1915/15Vol1_Tables.pdf,,
1915,Vol1_Initiative,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1915/15Vol1_Initiative.pdf,,
1915,Vol1_Measures,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1915/15Vol1_Measures.pdf,,
1915,Vol1_Chapters,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1915/15Vol1_Chapters.pdf,,
1915,Vol1_Index,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1915/15Vol1_Index.pdf,,
