[2026-06-01 18:52 PT] HEAD | 1913_Statutes.pdf: Content-Length=94,721,975 | OK
[2026-06-01 18:52 PT] ATTEMPT | 1913_Statutes.pdf attempt 1/5 | OK
[2026-06-01 18:52 PT] VERIFIED | 1913_Statutes.pdf: OK (94,721,975 bytes, 1808 pages) | OK
[2026-06-01 18:52 PT] MANIFEST | Manifest saved | OK
[2026-06-01 18:52 PT] PROGRESS | File 16/64: 1919_Vol1_Chapters.pdf | OK
[2026-06-01 18:52 PT] RETRY | START 1919_Vol1_Chapters.pdf | OK
[2026-06-01 18:52 PT] HEAD | 1919_Vol1_Chapters.pdf: Content-Length=90,392,602 | OK
[2026-06-01 18:52 PT] ATTEMPT | 1919_Vol1_Chapters.pdf attempt 1/5 | OK
[2026-06-01 18:53 PT] VERIFIED | 1919_Vol1_Chapters.pdf: OK (90,392,602 bytes, 1557 pages) | OK
[2026-06-01 18:53 PT] MANIFEST | Manifest saved | OK
[2026-06-01 18:53 PT] PROGRESS | File 17/64: 1921_Vol1_Chapters.pdf | OK
[2026-06-01 18:53 PT] RETRY | START 1921_Vol1_Chapters.pdf | OK
[2026-06-01 18:53 PT] HEAD | 1921_Vol1_Chapters.pdf: Content-Length=118,976,114 | OK
[2026-06-01 18:53 PT] EXISTING | 1921_Vol1_Chapters.pdf: corrupt file present (118,976,114 bytes), removing | WARN
[2026-06-01 18:53 PT] ATTEMPT | 1921_Vol1_Chapters.pdf attempt 1/5 | OK
[2026-06-01 18:53 PT] VERIFIED | 1921_Vol1_Chapters.pdf: OK (118,976,114 bytes, 2270 pages) | OK
[2026-06-01 18:53 PT] MANIFEST | Manifest saved | OK
[2026-06-01 18:53 PT] PROGRESS | File 18/64: 1925_Vol1_Chapters.pdf | OK
[2026-06-01 18:53 PT] RETRY | START 1925_Vol1_Chapters.pdf | OK
[2026-06-01 18:53 PT] HEAD | 1925_Vol1_Chapters.pdf: Content-Length=80,380,014 | OK
[2026-06-01 18:53 PT] EXISTING | 1925_Vol1_Chapters.pdf: corrupt file present (80,380,014 bytes), removing | WARN
[2026-06-01 18:53 PT] ATTEMPT | 1925_Vol1_Chapters.pdf attempt 1/5 | OK
[2026-06-01 18:54 PT] VERIFIED | 1925_Vol1_Chapters.pdf: OK (80,380,014 bytes, 1423 pages) | OK
[2026-06-01 18:54 PT] MANIFEST | Manifest saved | OK
[2026-06-01 18:54 PT] PROGRESS | File 19/64: 1933_Vol1_Chapters.pdf | OK
[2026-06-01 18:54 PT] RETRY | START 1933_Vol1_Chapters.pdf | OK
[2026-06-01 18:54 PT] HEAD | 1933_Vol1_Chapters.pdf: Content-Length=173,687,651 | OK
[2026-06-01 18:54 PT] ATTEMPT | 1933_Vol1_Chapters.pdf attempt 1/5 | OK
[2026-06-01 18:54 PT] DOWNLOAD | 1933_Vol1_Chapters.pdf attempt 1 FAILED: write error: ('Connection broken: IncompleteRead(7430366 bytes read, 166257285 more expected)', IncompleteRead(7430366 bytes read, 166257285 more expected)) | FAIL
