[2026-06-20 23:55 PT] ch489 | FOUND | page=813 roman=CDLXXXIX engine=doctr_text title='dn Act to prerent the Fraudulent Convcy- unce or Encumbrance'
[2026-06-20 23:55 PT] ch492 | SCAN | vol=production-1863 pages=815-816 chapters=[492]
[2026-06-20 23:55 PT] ch492 | GAP | LEGISLATIVE_GAP: ch491 -> ch493 with no ch492 anywhere in range, gap=2
[2026-06-20 23:55 PT] ch494 | SCAN | vol=production-1863 pages=816-817 chapters=[494]
[2026-06-20 23:55 PT] ch494 | GAP | LEGISLATIVE_GAP: ch493 -> ch495 with no ch494 anywhere in range, gap=2
[2026-06-20 23:55 PT] ch496 | SCAN | vol=production-1863 pages=817-818 chapters=[496]
[2026-06-20 23:55 PT] ch496 | GAP | LEGISLATIVE_GAP: ch495 -> ch497 with no ch496 anywhere in range, gap=2
[2026-06-20 23:55 PT] ch498 | SCAN | vol=production-1863 pages=818-819 chapters=[498]
[2026-06-20 23:55 PT] ch498 | FOUND | page=818 roman=CDXCVIII engine=doctr_text title='An Art to punish Ofrnces ugainst the Peuce of thc State. [Ap'
[2026-06-20 23:55 PT] ch515 | SCAN | vol=production-1863 pages=827-829 chapters=[515, 516]
[2026-06-20 23:55 PT] ch515 | FOUND | page=827 roman=DXV engine=doctr_text title='li Aet to appropriate money to pay a Claim, arising under a '
[2026-06-20 23:55 PT] ch516 | MISS | Not found in OCR pages 827-829 — marking not_found_needs_reocr
[2026-06-20 23:55 PT] ch519 | SCAN | vol=production-1863 pages=830-831 chapters=[519]
[2026-06-20 23:55 PT] ch519 | FOUND | page=829 roman=DXIX engine=doctr_text title='An Act to unthorize thc Board of Superrisors of thc County o'
[2026-06-20 23:55 PT] ch521 | SCAN | vol=production-1863 pages=831-832 chapters=[521]
[2026-06-20 23:55 PT] ch521 | GAP | LEGISLATIVE_GAP: ch520 -> ch522 with no ch521 anywhere in range, gap=2
[2026-06-20 23:55 PT] ch533 | SCAN | vol=production-1863 pages=837-838 chapters=[533]
[2026-06-20 23:55 PT] ch533 | GAP | LEGISLATIVE_GAP: ch532 -> ch534 with no ch533 anywhere in range, gap=2
[2026-06-20 23:55 PT] ch300 | SCAN | vol=production-1863-64 pages=391-393 chapters=[300]
[2026-06-20 23:55 PT] ch300 | GAP | LEGISLATIVE_GAP: ch299 -> ch301 with no ch300 anywhere in range, gap=2
[2026-06-20 23:55 PT] ch341 | SCAN | vol=production-1863-64 pages=459-563 chapters=[341]
[2026-06-20 23:55 PT] ch341 | FOUND | page=461 roman=CCCXLI engine=doctr_text title='CHAP. CCCXLI. An Act to authorize the Board of Supervisors o'
[2026-06-20 23:55 PT] ch383 | SCAN | vol=production-1863-64 pages=515-641 chapters=[383]
[2026-06-20 23:55 PT] ch383 | FOUND | page=514 roman=CCCLXXXIII engine=doctr_text title='An Act amendatory of and supplemental to an Act in addition '
[2026-06-20 23:55 PT] ch388 | SCAN | vol=production-1863-64 pages=522-527 chapters=[388]
[2026-06-20 23:55 PT] ch388 | FOUND | page=524 roman=CCCLXXXVIII engine=doctr_text title='An Act to incorporate the Town of Mark- leeville. [Approved '
[2026-06-20 23:55 PT] ch410 | SCAN | vol=production-1863-64 pages=548-716 chapters=[410]
[2026-06-20 23:55 PT] ch410 | FOUND | page=548 roman=CDX engine=doctr_text title='An Act to amend an Act entitled an Act concerning Lawful Fen'
[2026-06-20 23:55 PT] ch443 | SCAN | vol=production-1863-64 pages=570-576 chapters=[443]
[2026-06-20 23:55 PT] ch443 | GAP | LEGISLATIVE_GAP: ch442 -> ch444 with no ch443 anywhere in range, gap=2
[2026-06-20 23:55 PT] ch468 | SCAN | vol=production-1863-64 pages=606-612 chapters=[468, 469]
[2026-06-20 23:55 PT] ch468 | FOUND | page=606 roman=CDLXVIII engine=doctr_text title='CHAP. CCCCLXVIII. An Act to amend an Act entitled an Act to '
[2026-06-20 23:55 PT] ch469 | FOUND | page=607 roman=CDLXIX engine=doctr_text title='An Act concerning Jurors in certain Counties. [Approved Apri'
[2026-06-20 23:55 PT] ch473 | SCAN | vol=production-1863-64 pages=616-811 chapters=[473]
[2026-06-20 23:55 PT] ch473 | FOUND | page=615 roman=CDLXXIII engine=doctr_text title='An Act supplemental to an Act entitled an Act to create the '
[2026-06-20 23:55 PT] ch000 | SUMMARY | total=63 verified=23 gap=23 not_found=17
[2026-06-20 23:55 PT] ch000 | WRITE | Wrote 54 records to C:/PatoLex-scratch/production-1863/parsed_acts_visual.json
[2026-06-20 23:55 PT] ch000 | WRITE | Wrote 9 records to C:/PatoLex-scratch/production-1863-64/parsed_acts_visual.json
[2026-06-20 23:55 PT] ch000 | DONE | Campaign complete: verified=23 gap=23 not_found=17
