[2026-06-21 08:39 PT] OK |   ch1499: found pg=1276 method=count_from_lo confirmed=False nums=[1496, 12, 2]
[2026-06-21 08:39 PT] OK |   ch1503: found pg=1295 method=count_from_lo confirmed=False nums=[1501]
[2026-06-21 08:39 PT] OK |   ch1505: found pg=1301 method=count_from_lo confirmed=False nums=[1504]
[2026-06-21 08:39 PT] OK |   ch1506: found pg=1303 method=count_from_lo confirmed=False nums=[]
[2026-06-21 08:39 PT] OK |   ch1507: found pg=1307 method=count_from_lo confirmed=False nums=[]
[2026-06-21 08:39 PT] OK |   ch1508: found pg=1308 method=count_from_lo confirmed=False nums=[5, 5]
[2026-06-21 08:39 PT] OK |   ch1541: found pg=1465 method=count_from_lo confirmed=False nums=[1540, 3, 3]
[2026-06-21 08:39 PT] OK |   ch1542: found pg=1476 method=count_from_lo confirmed=False nums=[22, 22]
[2026-06-21 08:39 PT] OK |   ch1543: found pg=1478 method=count_from_lo confirmed=False nums=[]
[2026-06-21 08:39 PT] OK |   ch1563: found pg=1583 method=count_from_lo confirmed=False nums=[1561, 2]
[2026-06-21 08:39 PT] OK |   ch1564: found pg=1584 method=count_from_lo confirmed=False nums=[1561, 2, 1562]
[2026-06-21 08:39 PT] OK |   ch1565: found pg=1586 method=count_from_lo confirmed=False nums=[1, 1, 2]
[2026-06-21 08:39 PT] OK |   ch1582: found pg=1694 method=count_from_lo confirmed=False nums=[1581]
[2026-06-21 08:39 PT] OK |   ch1583: found pg=1701 method=count_from_lo confirmed=False nums=[]
[2026-06-21 08:39 PT] OK |   ch1591: found pg=1737 method=count_from_lo confirmed=False nums=[1590, 1]
[2026-06-21 08:39 PT] OK |   ch1610: found pg=1835 method=count_from_lo confirmed=False nums=[1609]
[2026-06-21 08:39 PT] OK |   ch1624: found pg=1893 method=count_from_lo confirmed=False nums=[1623]
[2026-06-21 08:39 PT] OK |   ch1635: found pg=1962 method=count_from_lo confirmed=False nums=[1634, 13, 13]
[2026-06-21 08:39 PT] OK |   ch1638: found pg=1978 method=count_from_lo confirmed=False nums=[1637]
[2026-06-21 08:39 PT] OK |   ch1640: found pg=1978 method=count_from_lo confirmed=False nums=[1637]
[2026-06-21 08:39 PT] OK |   ch1641: found pg=1979 method=count_from_lo confirmed=False nums=[1637, 1639, 9]
[2026-06-21 08:39 PT] OK |   ch1642: found pg=1982 method=count_from_lo confirmed=False nums=[9, 5]
[2026-06-21 08:39 PT] OK | production-1988-vol3: DONE. targeted=97 verified=97 leg_gap=0 not_found=0 -> C:/PatoLex-scratch/production-1988-vol3/parsed_acts_visual.json
[2026-06-21 08:39 PT] OK | CAMPAIGN COMPLETE: verified=100 legislative_gap=0 not_found=1 total=101
[2026-06-21 08:42 PT] PHASE | v2 MAIN: 101 missing chapters across 2 volumes
[2026-06-21 08:42 PT] PHASE | Processing production-1988-vol1-chapters: 4 missing chapters
[2026-06-21 08:42 PT] PHASE | v2: Loading OCR for production-1988-vol1-chapters...
[2026-06-21 08:42 PT] INFO | production-1988-vol1-chapters: OCR max_key=1747
[2026-06-21 08:42 PT] OK |   ch160: pg=596 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch237: pg=865 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch372: pg=1687 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch398: pg=1748 status=not_found_needs_reocr confirmed=False
[2026-06-21 08:42 PT] OK | production-1988-vol1-chapters: DONE v2. targeted=4 verified=3 leg_gap=0 not_found=1
[2026-06-21 08:42 PT] PHASE | Processing production-1988-vol3: 97 missing chapters
[2026-06-21 08:42 PT] PHASE | v2: Loading OCR for production-1988-vol3...
[2026-06-21 08:42 PT] INFO | production-1988-vol3: OCR max_key=2206
[2026-06-21 08:42 PT] OK |   ch1212: pg=26 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1213: pg=27 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1218: pg=31 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1232: pg=76 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1236: pg=84 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1237: pg=85 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1238: pg=86 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1241: pg=99 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1242: pg=102 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1245: pg=125 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1248: pg=128 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1249: pg=131 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1251: pg=138 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1252: pg=138 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1259: pg=163 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1260: pg=165 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1261: pg=166 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1266: pg=171 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1275: pg=234 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1278: pg=238 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1279: pg=239 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1280: pg=243 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1282: pg=249 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1284: pg=250 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1285: pg=255 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1286: pg=255 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1288: pg=264 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1292: pg=282 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1295: pg=286 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1304: pg=306 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1305: pg=307 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1312: pg=321 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1319: pg=331 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1324: pg=348 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1329: pg=365 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1335: pg=392 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1337: pg=395 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1340: pg=403 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1353: pg=437 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1355: pg=462 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1356: pg=463 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1364: pg=531 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1372: pg=582 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1376: pg=612 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1378: pg=616 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1379: pg=623 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1381: pg=625 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1386: pg=653 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1387: pg=653 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1389: pg=665 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1392: pg=674 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1393: pg=684 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1401: pg=703 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1402: pg=708 status=image_verified confirmed=False
