[2026-06-01 14:30 PT] OK | === PatoLex 1850 Benchmark START ===
[2026-06-01 14:30 PT] OK | Volume: Statutes of California, First Session (1850)
[2026-06-01 14:30 PT] OK | URL: https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1850/1850.pdf
[2026-06-01 14:30 PT] OK | ACQUIRE | file=C:\Users\PatrickKolasinski\PatoLex-scratch\gate-b-historical\1850-statutes-clerk-assembly.pdf
[2026-06-01 14:33 PT] OK | OCR | page 77 | 1.1s | chars=4622
[2026-06-01 14:33 PT] OK | OCR | page 78 | 1.2s | chars=4620
[2026-06-01 14:33 PT] OK | OCR | page 79 | 1.1s | chars=4408
[2026-06-01 14:33 PT] OK | OCR | page 80 | 1.0s | chars=4110
[2026-06-01 14:33 PT] OK | OCR | page 81 | 1.2s | chars=4857
[2026-06-01 14:33 PT] OK | OCR | page 82 | 1.3s | chars=5010
[2026-06-01 14:33 PT] OK | OCR | page 83 | 1.2s | chars=4927
[2026-06-01 14:33 PT] OK | OCR | page 84 | 1.1s | chars=4210
[2026-06-01 14:33 PT] OK | OCR | page 85 | 1.3s | chars=5200
[2026-06-01 14:33 PT] OK | OCR | page 86 | 1.1s | chars=4089
[2026-06-01 14:33 PT] OK | OCR | page 87 | 1.1s | chars=4475
[2026-06-01 14:33 PT] OK | OCR | page 88 | 1.2s | chars=4875
[2026-06-01 14:33 PT] OK | OCR | page 89 | 1.2s | chars=4782
[2026-06-01 14:33 PT] OK | OCR | page 90 | 1.3s | chars=5276
[2026-06-01 14:33 PT] OK | OCR | page 91 | 1.0s | chars=4080
[2026-06-01 14:33 PT] OK | OCR | page 92 | 1.2s | chars=4962
[2026-06-01 14:33 PT] OK | OCR | page 93 | 0.9s | chars=3376
[2026-06-01 14:33 PT] OK | OCR | page 94 | 1.3s | chars=5129
[2026-06-01 14:33 PT] OK | OCR | SUMMARY | pages=40 | wall=44.4s | mean=1.11s/page | 54.0 p/min | mean_chars/page=4376
[2026-06-01 14:33 PT] OK | OCR | raw text saved to C:\Users\PatrickKolasinski\PatoLex-scratch\gate-b-1850\ocr_raw_1850_body_pages.txt
[2026-06-01 14:33 PT] OK | OCR | QUALITY SAMPLES (first 300 chars each):
[2026-06-01 14:33 PT] OK | OCR | page 55: ‘ or THE ; STATE OF CALIFORNIA, | ’ PASSED AT THE FIRST SESSION OF THE LEGISLATURE, BEGUN THE FIFTEENTH DAY OF DECEMBER, 1819, AND ENDED ON THE TWENTY-SECOND DAY OF APRIL, 1850, AT PUEBLA DE SAN JOSE. : Chapter 1. ’ AN ACT concerning the Public Archives. Passed January 5, 1850. The People of the Sta
