[2026-06-23 22:50 PT] PAGE-AUDIT | production-1889: clean, 0 gaps (792p; read=0.913) 8s | OK
[2026-06-23 22:50 PT] PAGE-AUDIT | production-1891: clean, 0 gaps (593p; read=0.929) 6s | OK
[2026-06-23 22:50 PT] PAGE-AUDIT | production-1893: clean, 0 gaps (716p; read=0.874) 6s | OK
[2026-06-23 22:50 PT] PAGE-AUDIT | production-1895: clean, 0 gaps (508p; read=0.919) 5s | OK
[2026-06-23 22:50 PT] PAGE-AUDIT | production-1897: clean, 0 gaps (708p; read=0.925) 6s | OK
[2026-06-23 22:50 PT] PAGE-AUDIT | production-1899: clean, 0 gaps (566p; read=0.915) 6s | OK
[2026-06-23 22:51 PT] PAGE-AUDIT | production-1900-01: clean, 0 gaps (1030p; read=0.947) 11s | OK
[2026-06-23 22:51 PT] PAGE-AUDIT | production-1903: clean, 0 gaps (812p; read=0.937) 8s | OK
[2026-06-23 22:51 PT] PAGE-AUDIT | production-1905: clean, 0 gaps (1126p; read=0.94) 9s | OK
[2026-06-23 22:51 PT] PAGE-AUDIT | production-1906-07: clean, 0 gaps (1415p; read=0.961) 14s | OK
[2026-06-23 22:51 PT] PAGE-AUDIT | production-1907-09: clean, 0 gaps (1403p; read=0.917) 12s | OK
[2026-06-23 22:52 PT] PAGE-AUDIT | production-1910-11: clean, 0 gaps (2240p; read=0.968) 23s | OK
[2026-06-23 22:52 PT] PAGE-AUDIT | production-1913-statutes: clean, 0 gaps (1808p; read=0.959) 20s | OK
[2026-06-23 22:52 PT] PAGE-AUDIT | production-1915-vol1-chapters: 4 missing pp in 2 gap(s) -> 1548-1549(2); 1870-1871(2) (1922p; read=0.986) 24s | WARN
[2026-06-23 22:53 PT] PAGE-AUDIT | production-1917-vol1-chapters: clean, 0 gaps (1978p; read=0.975) 18s | OK
[2026-06-23 22:53 PT] PAGE-AUDIT | production-1919-vol1-chapters: clean, 0 gaps (1557p; read=0.992) 17s | OK
[2026-06-23 22:53 PT] PAGE-AUDIT | production-1921-vol1-chapters: clean, 0 gaps (2270p; read=0.995) 21s | OK
[2026-06-23 22:54 PT] PAGE-AUDIT | production-1923-vol1-chapters: clean, 0 gaps (1689p; read=0.992) 15s | OK
[2026-06-23 22:54 PT] PAGE-AUDIT | production-1925-vol1-chapters: clean, 0 gaps (1423p; read=0.994) 15s | OK
[2026-06-23 22:54 PT] PAGE-AUDIT | production-1927-vol1-26chapters: NOT AUDITABLE (too_few_pages; 4p; read=0.25) 1s | WARN
[2026-06-23 22:54 PT] PAGE-AUDIT | production-1927-vol1-chapters: 4 missing pp in 3 gap(s) -> 1626-1627(2); 1940-1940(1); 1965-1965(1) (2399p; read=0.999) 26s | WARN
[2026-06-23 22:54 PT] PAGE-AUDIT | production-1929-vol1-28chapters: NOT AUDITABLE (too_few_pages; 6p; read=0.333) 1s | WARN
[2026-06-23 22:55 PT] PAGE-AUDIT | production-1929-vol1-29chapters: 3 missing pp in 1 gap(s) -> 1584-1586(3) (2276p; read=0.999) 27s | WARN
[2026-06-23 22:56 PT] PAGE-AUDIT | production-1931-vol1-chapters: 1 missing pp in 1 gap(s) -> 2601-2601(1) (3163p; read=0.999) 39s | WARN
[2026-06-23 22:56 PT] PAGE-AUDIT | production-1933-vol1-chapters: 2 missing pp in 1 gap(s) -> 2724-2725(2) (3270p; read=0.999) 39s | WARN
[2026-06-23 22:56 PT] PAGE-AUDIT | production-1935-vol1-34chapters: clean, 0 gaps (44p; read=0.886) 1s | OK
[2026-06-23 22:57 PT] PAGE-AUDIT | production-1935-vol1-chapters: clean, 0 gaps (2679p; read=0.998) 28s | OK
[2026-06-23 22:57 PT] PAGE-AUDIT | production-1937-vol1-chapters: 2 missing pp in 1 gap(s) -> 2568-2569(2) (3066p; read=0.997) 37s | WARN
[2026-06-23 22:57 PT] PAGE-AUDIT | production-1938-vol1-chapters: 2 missing pp in 1 gap(s) -> 118-119(2) (181p; read=0.945) 3s | WARN
[2026-06-23 22:58 PT] PAGE-AUDIT | production-1939-vol1-chapters: clean, 0 gaps (3271p; read=0.998) 37s | OK
[2026-06-23 22:59 PT] PAGE-AUDIT | production-1941-vol1-41chapters: clean, 0 gaps (3154p; read=0.998) 38s | OK
