token	freq	tier	prior_category
weok	6	low_freq	TYPO
weske	6	low_freq	NAMELIKE
yent	6	low_freq	TYPO
yund	6	low_freq	TYPO
abarr	5	low_freq	TYPO
aceon	5	low_freq	TYPO
aguajito	5	low_freq	GARBLE
ainer	5	low_freq	TYPO
angiola	5	low_freq	TYPO
argust	5	low_freq	TYPO
arovista	5	low_freq	NAMELIKE
arrants	5	low_freq	TYPO
banis	5	low_freq	TYPO
bayland	5	low_freq	TYPO
beack	5	low_freq	TYPO
beles	5	low_freq	TYPO
bervin	5	low_freq	TYPO
bloemer	5	low_freq	TYPO
branen	5	low_freq	TYPO
buhne	5	low_freq	NAMELIKE
campodonico	5	low_freq	NAMELIKE
camptonville	5	low_freq	NAMELIKE
camuesa	5	low_freq	NAMELIKE
cayote	5	low_freq	TYPO
chaj	5	low_freq	TYPO
chanze	5	low_freq	TYPO
chapp	5	low_freq	TYPO
charre	5	low_freq	TYPO
chetco	5	low_freq	NAMELIKE
chier	5	low_freq	TYPO
cichowski	5	low_freq	NAMELIKE
clums	5	low_freq	TYPO
coane	5	low_freq	TYPO
coee	5	low_freq	TYPO
colee	5	low_freq	TYPO
covil	5	low_freq	TYPO
daygo	5	low_freq	NAMELIKE
deater	5	low_freq	TYPO
debree	5	low_freq	TYPO
decarli	5	low_freq	NAMELIKE
deea	5	low_freq	TYPO
deeth	5	low_freq	TYPO
defino	5	low_freq	TYPO
defond	5	low_freq	TYPO
delger	5	low_freq	NAMELIKE
demmon	5	low_freq	TYPO
detray	5	low_freq	TYPO
deturk	5	low_freq	NAMELIKE
devinney	5	low_freq	NAMELIKE
dezree	5	low_freq	TYPO
dibiaso	5	low_freq	NAMELIKE
ditchers	5	low_freq	TYPO
dunean	5	low_freq	TYPO
edminister	5	low_freq	TYPO
eera	5	low_freq	TYPO
enael	5	low_freq	TYPO
ennes	5	low_freq	TYPO
ermal	5	low_freq	TYPO
erter	5	low_freq	TYPO
escandon	5	low_freq	NAMELIKE
everee	5	low_freq	GARBLE
ewal	5	low_freq	TYPO
executve	5	low_freq	TYPO
fancisco	5	low_freq	TYPO
faud	5	low_freq	TYPO
franceses	5	low_freq	NAMELIKE
fullenwider	5	low_freq	NAMELIKE
ganic	5	low_freq	TYPO
gennine	5	low_freq	TYPO
gutenberger	5	low_freq	NAMELIKE
haraszthy	5	low_freq	NAMELIKE
harrall	5	low_freq	TYPO
havins	5	low_freq	TYPO
heffren	5	low_freq	NAMELIKE
hersko	5	low_freq	NAMELIKE
hosptal	5	low_freq	TYPO
hudner	5	low_freq	NAMELIKE
ikem	5	low_freq	TYPO
ilinois	5	low_freq	TYPO
jabur	5	low_freq	NAMELIKE
jaus	5	low_freq	TYPO
jeral	5	low_freq	TYPO
juny	5	low_freq	TYPO
juron	5	low_freq	TYPO
kallea	5	low_freq	NAMELIKE
keing	5	low_freq	TYPO
kilpatric	5	low_freq	TYPO
laen	5	low_freq	TYPO
larvie	5	low_freq	TYPO
lecy	5	low_freq	TYPO
lezer	5	low_freq	TYPO
likins	5	low_freq	TYPO
lindero	5	low_freq	TYPO
loars	5	low_freq	TYPO
lodg	5	low_freq	TYPO
loyed	5	low_freq	TYPO
lusks	5	low_freq	TYPO
mathiew	5	low_freq	TYPO
mccourtney	5	low_freq	NAMELIKE
meane	5	low_freq	TYPO
meloney	5	low_freq	TYPO
menalto	5	low_freq	NAMELIKE
menning	5	low_freq	TYPO
merical	5	low_freq	TYPO
millor	5	low_freq	TYPO
molate	5	low_freq	TYPO
mudhen	5	low_freq	NAMELIKE
mutnal	5	low_freq	TYPO
ncmc	5	low_freq	TYPO
ogram	5	low_freq	TYPO
olivenhain	5	low_freq	NAMELIKE
orean	5	low_freq	TYPO
orler	5	low_freq	TYPO
orter	5	low_freq	TYPO
parone	5	low_freq	TYPO
payce	5	low_freq	TYPO
pepers	5	low_freq	TYPO
percer	5	low_freq	TYPO
pilarcitos	5	low_freq	NAMELIKE
primery	5	low_freq	TYPO
priver	5	low_freq	TYPO
rackliffe	5	low_freq	NAMELIKE
recard	5	low_freq	TYPO
ruell	5	low_freq	TYPO
ruid	5	low_freq	TYPO
sacramen	5	low_freq	TYPO
sagehen	5	low_freq	NAMELIKE
sealanes	5	low_freq	NAMELIKE
seasor	5	low_freq	TYPO
septer	5	low_freq	TYPO
serles	5	low_freq	TYPO
sevena	5	low_freq	TYPO
shallin	5	low_freq	TYPO
shartel	5	low_freq	NAMELIKE
