[2026-06-01 07:20 PT] OK | TASK4 | 1872_toc_start.png: consensus body_cer=0.685 best_single=0.685 flag_recall=0.000
[2026-06-01 07:20 PT] OK | TASK4 | 1872_sec187_murder.png: consensus from ['qwen2.5vl_bodyprompt', 'qwen2.5vl_600dpi']
[2026-06-01 07:20 PT] OK | TASK4 | 1872_sec187_murder.png: consensus body_cer=0.333 best_single=0.333 flag_recall=0.000
[2026-06-01 07:20 PT] OK | TASK4 | 1903_title_page.png: consensus from ['qwen2.5vl_bodyprompt', 'qwen2.5vl_600dpi']
[2026-06-01 07:20 PT] OK | TASK4 | 1903_title_page.png: consensus body_cer=0.014 best_single=0.014 flag_recall=0.000
[2026-06-01 07:20 PT] OK | TASK4 | 1903_sec211_robbery.png: consensus from ['qwen2.5vl_bodyprompt', 'qwen2.5vl_600dpi']
[2026-06-01 07:20 PT] OK | TASK4 | 1903_sec211_robbery.png: consensus body_cer=0.161 best_single=0.087 flag_recall=0.269
[2026-06-01 07:20 PT] OK | TASK4 | Done. 5 rows written.
[2026-06-01 07:20 PT] OK | MAIN | === GENERATING REPORT ===
[2026-06-01 07:20 PT] OK | REPORT | Generating ocr_round2_report.md
[2026-06-01 07:20 PT] OK | REPORT | Report written to C:\Users\PatrickKolasinski\PatoLex-scratch\gate-b-historical\ocr_round2_report.md
[2026-06-01 07:20 PT] OK | MAIN | Round-2 complete
[2026-06-01 07:29 PT] OK | FOLLOWUP | Starting follow-up: Tesseract + Falcon-OCR
[2026-06-01 07:29 PT] OK | FOLLOWUP | --- Tesseract ---
[2026-06-01 07:29 PT] OK | FOLLOWUP | Tesseract on 1872_title_page.png
[2026-06-01 07:29 PT] OK | FOLLOWUP | Tesseract 1872_title_page.png: page_cer=0.847 body_cer=0.469 lat=0.9s
[2026-06-01 07:29 PT] OK | FOLLOWUP | Tesseract on 1872_toc_start.png
[2026-06-01 07:29 PT] OK | FOLLOWUP | Tesseract 1872_toc_start.png: page_cer=0.702 body_cer=0.575 lat=0.7s
[2026-06-01 07:29 PT] OK | FOLLOWUP | Tesseract on 1872_sec187_murder.png
[2026-06-01 07:29 PT] OK | FOLLOWUP | Tesseract 1872_sec187_murder.png: page_cer=0.403 body_cer=0.205 lat=0.9s
[2026-06-01 07:29 PT] OK | FOLLOWUP | Tesseract on 1903_title_page.png
[2026-06-01 07:29 PT] OK | FOLLOWUP | Tesseract 1903_title_page.png: page_cer=0.734 body_cer=0.180 lat=0.3s
[2026-06-01 07:29 PT] OK | FOLLOWUP | Tesseract on 1903_sec211_robbery.png
[2026-06-01 07:29 PT] OK | FOLLOWUP | Tesseract 1903_sec211_robbery.png: page_cer=0.427 body_cer=0.103 lat=0.7s
[2026-06-01 07:29 PT] OK | FOLLOWUP | Tesseract done: 5 rows
[2026-06-01 07:29 PT] OK | FOLLOWUP | --- Falcon-OCR ---
[2026-06-01 07:29 PT] OK | FOLLOWUP | Falcon-OCR on 1872_title_page.png
[2026-06-01 07:29 PT] OK | FALCON | Loading Falcon-OCR model (first call)...
[2026-06-01 07:29 PT] FAIL | FOLLOWUP | Falcon-OCR FAILED on 1872_title_page.png: Error: Traceback (most recent call last):
  File "C:\Users\PatrickKolasinski\Pat
[2026-06-01 07:29 PT] OK | FOLLOWUP | Falcon-OCR on 1872_toc_start.png
[2026-06-01 07:29 PT] OK | FALCON | Loading Falcon-OCR model (first call)...
[2026-06-01 07:29 PT] FAIL | FOLLOWUP | Falcon-OCR FAILED on 1872_toc_start.png: Error: Traceback (most recent call last):
  File "C:\Users\PatrickKolasinski\Pat
[2026-06-01 07:29 PT] OK | FOLLOWUP | Falcon-OCR on 1872_sec187_murder.png
[2026-06-01 07:29 PT] OK | FALCON | Loading Falcon-OCR model (first call)...
[2026-06-01 07:29 PT] FAIL | FOLLOWUP | Falcon-OCR FAILED on 1872_sec187_murder.png: Error: Traceback (most recent call last):
  File "C:\Users\PatrickKolasinski\Pat
[2026-06-01 07:29 PT] OK | FOLLOWUP | Falcon-OCR on 1903_title_page.png
[2026-06-01 07:29 PT] OK | FALCON | Loading Falcon-OCR model (first call)...
[2026-06-01 07:29 PT] FAIL | FOLLOWUP | Falcon-OCR FAILED on 1903_title_page.png: Error: Traceback (most recent call last):
  File "C:\Users\PatrickKolasinski\Pat
[2026-06-01 07:29 PT] OK | FOLLOWUP | Falcon-OCR on 1903_sec211_robbery.png
[2026-06-01 07:29 PT] OK | FALCON | Loading Falcon-OCR model (first call)...
[2026-06-01 07:29 PT] FAIL | FOLLOWUP | Falcon-OCR FAILED on 1903_sec211_robbery.png: Error: Traceback (most recent call last):
  File "C:\Users\PatrickKolasinski\Pat
[2026-06-01 07:29 PT] OK | FOLLOWUP | Falcon-OCR done: 5 rows
[2026-06-01 07:29 PT] OK | FOLLOWUP | Follow-up complete
[2026-06-01 07:32 PT] OK | CONSENSUS2 | Computing consensus with Tesseract + qwen2.5vl for gold pages
[2026-06-01 07:32 PT] OK | CONSENSUS2 | 1872_title_page.png: computing consensus from ['qwen2.5vl_bodyprompt', 'qwen2.5vl_600dpi', 'tesseract5']
[2026-06-01 07:32 PT] OK | CONSENSUS2 | 1872_title_page.png: cons_body_cer=0.344 best_single=0.312 flag_recall=0.711 (27/38 errors flagged)
[2026-06-01 07:32 PT] OK | CONSENSUS2 | 1872_toc_start.png: computing consensus from ['qwen2.5vl_bodyprompt', 'qwen2.5vl_600dpi', 'tesseract5']
[2026-06-01 07:32 PT] OK | CONSENSUS2 | 1872_toc_start.png: cons_body_cer=0.694 best_single=0.575 flag_recall=0.688 (121/176 errors flagged)
[2026-06-01 07:32 PT] OK | CONSENSUS2 | 1872_sec187_murder.png: computing consensus from ['qwen2.5vl_bodyprompt', 'qwen2.5vl_600dpi', 'tesseract5']
[2026-06-01 07:32 PT] OK | CONSENSUS2 | 1872_sec187_murder.png: cons_body_cer=0.380 best_single=0.205 flag_recall=0.712 (247/347 errors flagged)
[2026-06-01 07:32 PT] OK | CONSENSUS2 | 1903_title_page.png: computing consensus from ['qwen2.5vl_bodyprompt', 'qwen2.5vl_600dpi', 'tesseract5']
[2026-06-01 07:32 PT] OK | CONSENSUS2 | 1903_title_page.png: cons_body_cer=0.105 best_single=0.049 flag_recall=0.667 (32/48 errors flagged)
[2026-06-01 07:32 PT] OK | CONSENSUS2 | 1903_sec211_robbery.png: computing consensus from ['qwen2.5vl_bodyprompt', 'qwen2.5vl_600dpi', 'tesseract5']
[2026-06-01 07:32 PT] OK | CONSENSUS2 | 1903_sec211_robbery.png: cons_body_cer=0.213 best_single=0.110 flag_recall=0.941 (271/288 errors flagged)
[2026-06-01 07:32 PT] OK | CONSENSUS2 | Done: 5 rows written
[2026-06-01 07:32 PT] OK | REPORT2 | Generating final report
[2026-06-01 07:32 PT] OK | REPORT2 | Final report written: C:\Users\PatrickKolasinski\PatoLex-scratch\gate-b-historical\ocr_round2_report.md
[2026-06-01 07:32 PT] OK | FINAL | Round-2 complete
[2026-06-01 07:33 PT] OK | FINAL | Round-2 benchmark complete. Key results: body CER (qwen2.5vl) 8.7-12.9% on law pages; Tesseract 10.3-20.5%; consensus flag recall 74.3%; 4/5 dedicated engines failed (Linux-only deps). Files: ocr_round2_results.csv, ocr_round2_report.md
