vol	page	tier	kind	margin_words	head	tail	joined	margin_text
production-1862	396	HYPHEN	margin	12	prop	erty	property	Provie Orty provided that the Sheriff or Marshal in solling said prop
production-1862	399	HYPHEN	margin	24	re	lishing	relishing	sponsiblo bidder utter ten days notice given by posting the | same in three of the most public places in tho city or by pub
production-1862	406	HYPHEN	margin	24	treas	urer	treasurer	uror of suid county and his receipt takon thorefor aud tiled by | the Clerk of the Board of Supervisors in his office The Treas
production-1862	426	SPACESPLIT	spacesplit2	0	adj	utant	adjutant	
production-1862	431	HYPHEN	blankgap	0	acknowl	edged	acknowledged	
production-1862	451	HYPHEN	blankgap	0	in	debtedness	indebtedness	
production-1862	481	HYPHEN	blankgap	0	cor	porations	corporations	
production-1862	485	HYPHEN	blankgap	0	denomina	tion	denomination	
production-1862	499	HYPHEN	margin	55	con	formity	conformity	struction thereot are faithfully performed or in caso they are | not to report the same to said Superintendent and no payinent | shall be made on account of any contract mado in pursunnee of | this Act until the said Superintendent shall have certitied that | the work to he paid for has been faithfully performed in con
production-1862	500	HYPHEN	crosspage	0	dis	tricts	districts	->501
production-1862	502	HYPHEN	blankgap	0	cer	tificate	certificate	
production-1862	505	HYPHEN	blankgap	0	rev	enue	revenue	
production-1862	515	HYPHEN	blankgap	0	com	pleting	completing	
production-1862	517	NOHYPHEN	adjacent	0	appara	tus	apparatus	
production-1862	527	NOHYPHEN	adjacent	0	compensa	tion	compensation	
production-1862	528	HYPHEN	margin	11	acknowl	edgments	acknowledgments	edvud by him heforo an officer authorized to take the acknowl
production-1862	533	NOHYPHEN	adjacent	0	immigrat	or	immigrator	
production-1862	552	HYPHEN	margin	46	com	modate	commodate	missioners on the part of Contra Costa County to act in con | junction with onc or more Commissioners on the part of the | County of Alameda for the purpose of Inying out and establish | ing the line grade and gango of a suitable road to accom
production-1862	552	HYPHEN	blankgap	0	accom	modate	accommodate	
production-1862	569	HYPHEN	margin	51	no	tioned	notioned	tice If for any cause such Kale shall be adjourned for a period ajunm | of not over one week at a time it may be done by proclama mot | tion and notice thereof posted at the door of the Court Honso | and no further publication shall be necessary In actions men
production-1862	579	HYPHEN	margin	32	por	tioned	portioned	mit the cars to cross without obstruction and nothing in this | Act shall be so construed as to prevent any other railroad com | pany hereafter formed from crossing the ways hercin men
